Date,P/L,Cumulative
2023/05/08 11:45,-1,-1
2023/05/08 11:45,1.8,0.8
2023/05/08 13:10,-1,-0.2
2023/05/08 13:25,-1,-1.2
2023/05/08 14:25,0,-1.2
2023/05/08 14:40,1.27,0.07
2023/05/08 16:00,0,0.07
2023/05/08 16:00,0.93,1
2023/05/08 17:55,-1,0
2023/05/08 17:55,3.03,3.03
2023/05/08 19:15,0,3.03
2023/05/08 19:10,1.07,4.1
2023/05/08 20:00,3.97,8.07
2023/05/08 20:20,1.75,9.82
2023/05/08 21:20,0,9.82
2023/05/08 21:40,0,9.82
2023/05/09 11:30,1.14,10.96
2023/05/09 11:30,0,10.96
2023/05/09 12:40,-1,9.96
2023/05/09 12:25,-1,8.96
2023/05/09 14:05,1.47,10.43
2023/05/09 13:55,-1,9.43
2023/05/09 18:15,-1,8.43
2023/05/09 16:20,1.75,10.18
2023/05/10 11:30,1.57,11.75
2023/05/10 11:30,-1,10.75
2023/05/10 14:15,-1,9.75
2023/05/10 15:20,-1,8.75
2023/05/10 18:10,-1,7.75
2023/05/10 16:35,0.68,8.43
2023/05/11 11:30,1.18,9.61
2023/05/11 14:25,0.59,10.2
2023/05/11 17:50,-1,9.2
2023/05/13 11:30,-1,8.2
2023/05/13 11:30,-1,7.2
2023/05/13 12:45,-1,6.2
2023/05/13 12:55,-1,5.2
2023/05/13 13:50,0,5.2
2023/05/13 14:10,-1,4.2
2023/05/13 15:05,0.96,5.16
2023/05/13 15:25,1.78,6.94
2023/05/13 17:20,0,6.94
2023/05/13 17:20,0,6.94
2023/05/13 18:40,0,6.94
2023/05/13 19:10,-1,5.94
2023/05/13 20:05,0,5.94
2023/05/13 20:20,1.23,7.17
2023/05/13 21:15,3.44,10.61
2023/05/13 21:40,2.79,13.4
2023/05/14 11:30,0,13.4
2023/05/14 11:30,1.13,14.53
2023/05/14 12:45,-1,13.53
2023/05/14 12:55,1.03,14.56
2023/05/14 13:55,-1,13.56
2023/05/14 14:00,-1,12.56
2023/05/14 17:55,-1,11.56
2023/05/14 17:00,-1,10.56
2023/05/15 11:30,1.37,11.93
2023/05/15 11:30,-1,10.93
2023/05/15 15:45,3.1,14.03
2023/05/15 14:00,1.96,15.99
2023/05/15 16:25,-1,14.99
2023/05/15 20:00,1.16,16.15
2023/05/16 11:30,0.81,16.96
2023/05/16 15:45,1.64,18.6
2023/05/16 19:30,1.45,20.05
2023/05/18 15:00,-1,19.05
2023/05/19 15:00,0,19.05
2023/05/19 17:55,1.61,20.66
2023/05/18 19:15,-1,19.66
2023/05/20 15:00,-1,18.66
2023/05/20 19:35,-1,17.66
2023/05/21 17:00,-1,16.66
2023/05/29 18:00,0,16.66
2023/05/29 18:00,5.18,21.84
2023/05/29 19:45,3.61,25.45
2023/05/29 19:20,1.25,26.7
2023/05/29 20:45,2.42,29.12
2023/05/29 22:05,-1,28.12
2023/05/29 22:40,3.71,31.83
2023/05/29 23:50,-1,30.83
2023/05/29 23:45,-1,29.83
2023/05/30 02:30,-1,28.83
2023/05/30 02:30,1.73,30.56
2023/05/30 18:00,-1,29.56
2023/05/30 21:30,0,29.56
2023/05/31 01:00,-1,28.56
2023/05/31 01:00,1.45,30.01
2023/05/30 21:40,-1,29.01
2023/05/31 18:00,-1,28.01
2023/05/31 18:00,-1,27.01
2023/05/31 21:50,0.69,27.7
2023/05/31 21:30,0.91,28.61
2023/06/01 01:00,-1,27.61
2023/06/01 01:00,-1,26.61
2023/06/02 20:30,0,26.61
2023/06/03 00:35,1.25,27.86
2023/06/03 18:30,2.34,30.2
2023/06/03 23:00,0,30.2
2023/06/04 20:00,-1,29.2
2023/06/07 16:35,6.85,36.05
2023/06/07 19:00,-1,35.05
2023/06/07 21:40,-1,34.05
2023/06/07 23:55,0,34.05
2023/06/08 19:05,-1,33.05
2023/06/08 16:00,0,33.05
2023/06/08 23:25,3.68,36.73
2023/06/09 03:40,-1,35.73
2023/06/09 19:00,0,35.73
2023/06/09 21:55,0,35.73
2023/06/10 19:15,-1,34.73
2023/06/11 00:00,0.76,35.49
2023/06/11 20:30,0,35.49
2023/07/12 15:00,0,35.49
2023/07/13 15:00,-1,34.49
2023/07/13 17:20,1.58,36.07
2023/07/14 12:00,-1,35.07
2023/07/14 14:45,-1,34.07
2023/07/14 18:40,-1,33.07
2023/07/15 12:00,2.19,35.26
