match_id,url,datetime,team1_id,team2_id,team1,team2,t1_odds,t2_odds,t1_prob,t2_prob,t1_n_prob,t2_n_prob,t1_score,t2_score,winner_id,event_id,event_name
2368527,faze-vs-vitality-blast-premier-world-final-2023,2023/12/17 16:00,6667,9565,faze,vitality,2.3,1.59,0.434782609,0.628930818,0.40874036,0.59125964,0,2,9565,6976,blast-premier-world-final-2023
2368526,vitality-vs-natus-vincere-blast-premier-world-final-2023,2023/12/16 16:30,9565,4608,vitality,natus-vincere,1.29,3.55,0.775193798,0.281690141,0.733471074,0.266528926,2,0,9565,6976,blast-premier-world-final-2023
2368525,faze-vs-mouz-blast-premier-world-final-2023,2023/12/16 13:30,6667,4494,faze,mouz,1.43,2.72,0.699300699,0.367647059,0.655421687,0.344578313,2,0,6667,6976,blast-premier-world-final-2023
2368524,natus-vincere-vs-g2-blast-premier-world-final-2023,2023/12/15 13:05,4608,5995,natus-vincere,g2,2.55,1.5,0.392156863,0.666666667,0.37037037,0.62962963,2,1,4608,6976,blast-premier-world-final-2023
2368523,cloud9-vs-mouz-blast-premier-world-final-2023,2023/12/15 11:00,5752,4494,cloud9,mouz,1.58,2.31,0.632911392,0.432900433,0.593830334,0.406169666,0,2,4494,6976,blast-premier-world-final-2023
2368522,faze-vs-g2-blast-premier-world-final-2023,2023/12/14 15:25,6667,5995,faze,g2,1.49,2.52,0.67114094,0.396825397,0.628428928,0.371571072,2,1,6667,6976,blast-premier-world-final-2023
2368521,heroic-vs-mouz-blast-premier-world-final-2023,2023/12/14 13:30,7175,4494,heroic,mouz,2.73,1.43,0.366300366,0.699300699,0.34375,0.65625,0,2,4494,6976,blast-premier-world-final-2023
2368520,cloud9-vs-vitality-blast-premier-world-final-2023,2023/12/14 11:05,5752,9565,cloud9,vitality,2.83,1.4,0.35335689,0.714285714,0.330969267,0.669030733,0,2,9565,6976,blast-premier-world-final-2023
2368519,ence-vs-natus-vincere-blast-premier-world-final-2023,2023/12/14 08:00,4869,4608,ence,natus-vincere,2.29,1.6,0.436681223,0.625,0.411311054,0.588688946,1,2,4608,6976,blast-premier-world-final-2023
2368518,mouz-vs-g2-blast-premier-world-final-2023,2023/12/13 15:05,4494,5995,mouz,g2,2.13,1.68,0.469483568,0.595238095,0.440944882,0.559055118,0,2,5995,6976,blast-premier-world-final-2023
2368517,faze-vs-heroic-blast-premier-world-final-2023,2023/12/13 12:35,6667,7175,faze,heroic,1.21,4.18,0.826446281,0.23923445,0.775510204,0.224489796,2,0,6667,6976,blast-premier-world-final-2023
2368516,vitality-vs-natus-vincere-blast-premier-world-final-2023,2023/12/13 10:25,9565,4608,vitality,natus-vincere,1.36,3.05,0.735294118,0.327868852,0.691609978,0.308390022,2,0,9565,6976,blast-premier-world-final-2023
2368515,cloud9-vs-ence-blast-premier-world-final-2023,2023/12/13 08:00,5752,4869,cloud9,ence,1.51,2.47,0.662251656,0.4048583,0.620603015,0.379396985,2,0,5752,6976,blast-premier-world-final-2023
2368041,vitality-vs-faze-blast-premier-fall-final-2023,2023/11/26 18:00,9565,6667,vitality,faze,2.09,1.7,0.4784689,0.588235294,0.448548813,0.551451187,2,0,9565,6975,blast-premier-fall-final-2023
2368040,faze-vs-complexity-blast-premier-fall-final-2023,2023/11/25 20:55,6667,5005,faze,complexity,1.33,3.18,0.751879699,0.314465409,0.705099778,0.294900222,2,1,6667,6975,blast-premier-fall-final-2023
2368039,vitality-vs-cloud9-blast-premier-fall-final-2023,2023/11/25 16:30,9565,5752,vitality,cloud9,1.57,2.33,0.636942675,0.429184549,0.597435898,0.402564102,2,1,9565,6975,blast-premier-fall-final-2023
2368038,natus-vincere-vs-complexity-blast-premier-fall-final-2023,2023/11/24 19:10,4608,5005,natus-vincere,complexity,1.93,1.84,0.518134715,0.543478261,0.48806366,0.51193634,1,2,5005,6975,blast-premier-fall-final-2023
2368037,cloud9-vs-heroic-blast-premier-fall-final-2023,2023/11/24 16:30,5752,7175,cloud9,heroic,1.4,2.83,0.714285714,0.35335689,0.669030733,0.330969267,2,0,5752,6975,blast-premier-fall-final-2023
