match_id,datetime,team1_id,team2_id,team1,team2,t1_score,t2_score,win,format,team1_rank,team2_rank,rank_diff,lan,elim,t1_mu,t1_sigma,t2_mu,t2_sigma,ts_win_prob,t1_elo,t2_elo,elo_win_prob,t1_age,t1_xp,t2_age,t2_xp,t1_mp,t1_wr,t1_ws,t1_rust,t2_mp,t2_wr,t2_ws,t2_rust,h2h_maps,h2h_wr,h2h_rwp,t1_avg_hltv_rating,t1_sd_hltv_rating,t1_avg_fk_pr,t1_sd_fk_pr,t1_avg_cl_pr,t1_sd_cl_pr,t1_avg_pl_rating,t1_sd_pl_rating,t1_avg_pl_adr,t1_sd_pl_adr,t1_avg_plr_kast,t1_sd_plr_kast,t1_avg_pistol_wr,t1_sd_pistol_wr,t2_avg_hltv_rating,t2_sd_hltv_rating,t2_avg_fk_pr,t2_sd_fk_pr,t2_avg_cl_pr,t2_sd_cl_pr,t2_avg_pl_rating,t2_sd_pl_rating,t2_avg_pl_adr,t2_sd_pl_adr,t2_avg_plr_kast,t2_sd_plr_kast,t2_avg_pistol_wr,t2_sd_pistol_wr,0_prob,1_prob,t1_odds,t2_odds
2360638,2022-12-15 08:00,11595,5995,outsiders,g2,0,2,0,3,2,12,-10,1,1,28.94563499,1.376554069,27.69466946,1.551270856,0.672572501,1062.874288,1077.655027,0.47874163,182,42,117,21,24,0.75,0,1,10,0.3,0,1,0,0.0,0.0,1.103488372,0.190102588,14.25581395,3.570505946,1.23255814,0.960552392,1.103395349,0.190632502,72.51953488,8.150933733,72.4772093,8.119946822,0.406976744,0.309835177,1.068571429,0.259840349,12.95238095,3.184429238,1.285714286,1.075389504,1.068,0.260175765,73.43619048,10.33117634,71.1847619,10.17283012,0.642857143,0.382437581,0.3966609144450429,0.6033390855549571,1.6574400142503243,2.521038606388688
2360639,2022-12-15 10:15,5973,6667,liquid,faze,1,2,0,3,8,3,5,1,1,28.36148717,1.398316825,29.29107082,1.324486377,0.368708957,1059.543725,1111.375491,0.425956578,161,33,293,64,22,0.636363636,1,1,13,0.692307692,1,1,0,0.0,0.0,1.064230769,0.182518136,13.75,3.523956474,1.288461538,1.245554224,1.063692308,0.182452263,73.31961538,6.838959087,70.75653846,6.851797879,0.490384615,0.346554256,1.103448276,0.18162629,15.62068966,3.827430876,1.620689655,1.297578464,1.104551724,0.181795563,75.43310345,7.444246611,71.28137931,6.149762947,0.568965517,0.387835237,0.5411151344073388,0.4588848655926611,2.179191112605916,1.8480321254794163
2360640,2022-12-15 13:50,7175,4608,heroic,natus-vincere,1,2,0,3,1,4,-3,1,1,27.86660393,1.346949596,28.49678994,1.435370757,0.41030489,1068.382011,1086.384759,0.474115125,1,2,117,25,26,0.615384615,0,1,14,0.5,0,1,3,0.333333333,0.434782609,1.112881356,0.207520069,13.37288136,3.313548485,1.694915254,1.429166372,1.11240678,0.20794451,74.6979661,7.723204477,72.97728814,8.075924008,0.508474576,0.350441917,1.073103448,0.178250182,14.37931034,3.745468923,1.517241379,1.276327967,1.073103448,0.1776813,73.16482759,7.259791305,71.63655172,6.706458172,0.603448276,0.356692429,0.4987870337706747,0.5012129662293253,1.995155896239452,2.00485964436702
2360641,2022-12-15 17:55,10503,9565,og,vitality,2,0,1,3,18,9,9,1,1,26.88827673,1.466325957,28.0289951,1.351866807,0.34091798,987.4718007,1076.871336,0.374109924,121,28,118,32,16,0.375,1,1,20,0.4,1,1,3,0.333333333,0.510942761,1.044242424,0.167386874,14.15151515,4.053589596,1.272727273,0.962091386,1.044060606,0.167989527,71.02909091,6.993975054,70.45393939,6.745946455,0.409090909,0.336076864,1.071578947,0.18220183,14.31578947,4.588918363,1.526315789,1.208235819,1.071631579,0.182605041,72.77631579,6.926210865,71.14105263,6.934986734,0.473684211,0.379531713,0.5774638022846326,0.4225361977153674,2.366655540404344,1.731707276432581
2360642,2022-12-16 13:30,5973,4608,liquid,natus-vincere,2,1,1,3,8,4,4,1,1,28.2670353,1.396570093,28.91599869,2.829697123,0.420463346,1055.284159,868.4913382,0.745597056,162,34,0,1,23,0.608695652,0,1,15,0.533333333,1,1,4,0.75,0.547722567,1.054545455,0.187527629,13.65454545,3.649249895,1.290909091,1.216144837,1.054181818,0.187213936,73.05745455,6.925398897,70.39672727,7.078166957,0.490909091,0.336977327,1.0690625,0.176234208,14.3125,3.643808962,1.5625,1.248436522,1.0691875,0.175623076,73.1375,7.087453263,71.28375,6.8167779,0.625,0.353553391,0.47684479407564073,0.5231552059243593,1.9114749833333438,2.097114019718863
2360643,2022-12-16 17:45,5995,9565,g2,vitality,2,1,1,3,12,9,3,1,1,27.90949013,1.545352681,27.87539281,1.349671736,0.504867591,1072.442443,1080.612435,0.488244604,118,22,119,33,11,0.363636364,1,1,21,0.380952381,0,1,2,0.0,0.395238095,1.096086957,0.277782197,13.17391304,3.12983086,1.391304348,1.169880352,1.095565217,0.278305404,74.44782609,10.8862382,71.94695652,10.2461388,0.630434783,0.367642055,1.0635,0.181101491,14.05,4.668779284,1.575,1.320747894,1.0636,0.181464707,72.431,6.929230765,70.844,6.887517985,0.4875,0.37893766,0.5085818836136563,0.4914181163863437,2.034922872666232,1.9662478471447093
2360644,2022-12-17 13:30,10503,5973,og,liquid,1,2,0,3,18,8,10,1,1,27.06908562,1.462602365,28.388423,1.395375446,0.317932207,993.7307014,1060.474134,0.405112843,123,29,163,35,17,0.411764706,2,2,24,0.625,1,1,0,0.0,0.0,1.051428571,0.165290097,14.4,4.06518318,1.314285714,0.978962383,1.051314286,0.165924556,71.21428571,6.832745646,70.77485714,6.681100581,0.4,0.333809184,1.061034483,0.188292597,13.67241379,3.57379317,1.310344828,1.220611726,1.060689655,0.188124886,73.30172414,7.045785519,70.76655172,7.1074758,0.482758621,0.334322749,0.5855701521067014,0.4144298478932986,2.4129477935423016,1.7077343998288057
2360645,2022-12-17 18:05,6667,5995,faze,g2,0,2,0,3,3,12,-9,1,1,29.37563826,1.323532702,28.06487173,1.540458944,0.680683292,1105.635057,1077.559997,0.540315547,295,65,119,23,14,0.714285714,2,2,12,0.416666667,2,1,3,0.666666667,0.570797721,1.1134375,0.184892019,15.40625,3.740482715,1.6875,1.309520427,1.1145,0.185274121,75.626875,7.2702899,71.58125,6.556183984,0.5625,0.369754986,1.103846154,0.269473517,13.30769231,3.171619712,1.384615385,1.146128033,1.103615385,0.269697848,74.24923077,10.43259276,72.33384615,9.885690932,0.653846154,0.360801212,0.3966901990121372,0.6033098009878628,1.6575204660062395,2.52085249808984
2360646,2022-12-18 12:00,5973,5995,liquid,g2,0,2,0,3,8,12,-4,1,1,28.4708902,1.393949511,28.27972512,1.534711557,0.527241137,1054.525262,1072.963153,0.473490624,164,36,120,24,25,0.64,2,1,13,0.461538462,3,1,2,1.0,0.574358974,1.065081967,0.18718469,13.67213115,3.602009055,1.31147541,1.194810961,1.064754098,0.187066803,73.33836066,7.135235399,71.0904918,7.194315248,0.491803279,0.33254857,1.103214286,0.259767115,13.5,3.179173298,1.321428571,1.135579507,1.103214286,0.259984252,74.16785714,10.07663824,72.30285714,9.54026911,0.642857143,0.349927106,0.46448290773484147,0.5355170922651585,1.8673505422947616,2.1529271161981076
2360706,2022-12-13 20:00,7718,10333,movistar-riders,sangal,0,2,0,3,23,49,-26,0,1,24.22476183,2.471501841,27.06798443,2.988122033,0.188870484,1012.858286,991.0506884,0.531342506,49,6,119,24,13,0.153846154,0,8,18,0.611111111,2,6,0,0.0,0.0,0.953448276,0.167358295,12.5862069,3.792162893,1.517241379,1.354957428,0.953793103,0.167397396,68.92482759,7.126462885,66.59862069,6.878447963,0.5,0.32163376,1.033170732,0.178399921,13.70731707,3.187199263,1.756097561,1.393022469,1.033121951,0.177291299,72.39658537,7.334430535,68.97902439,7.447204683,0.585365854,0.329494051,0.5696006801488067,0.43039931985119334,2.3234183477041563,1.7556127989979822
