Date,P/L,Cumulative
2023/05/08,-1,-1
2023/05/08,1.8,0.8
2023/05/08,-1,-0.2
2023/05/08,-1,-1.2
2023/05/08,2.07,0.87
2023/05/08,1.27,2.14
2023/05/08,0.85,2.99
2023/05/08,0.93,3.92
2023/05/08,-1,2.92
2023/05/08,3.03,5.95
2023/05/08,0,5.95
2023/05/08,0,5.95
2023/05/08,3.97,9.92
2023/05/08,1.75,11.67
2023/05/08,1.27,12.94
2023/05/08,1.05,13.99
2023/05/09,1.14,15.13
2023/05/09,0,15.13
2023/05/09,-1,14.13
2023/05/09,-1,13.13
2023/05/09,1.47,14.6
2023/05/09,-1,13.6
2023/05/09,-1,12.6
2023/05/09,1.75,14.35
2023/05/10,1.57,15.92
2023/05/10,-1,14.92
2023/05/10,-1,13.92
2023/05/10,-1,12.92
2023/05/10,-1,11.92
2023/05/10,0,11.92
2023/05/11,1.18,13.1
2023/05/11,0,13.1
2023/05/11,-1,12.1
2023/05/13,-1,11.1
2023/05/13,-1,10.1
2023/05/13,-1,9.1
2023/05/13,1.13,10.23
2023/05/13,0.97,11.2
2023/05/13,-1,10.2
2023/05/13,0.96,11.16
2023/05/13,1.78,12.94
2023/05/13,-1,11.94
2023/05/13,0.76,12.7
2023/05/13,0,12.7
2023/05/13,-1,11.7
2023/05/13,0,11.7
2023/05/13,1.23,12.93
2023/05/13,3.44,16.37
2023/05/13,2.79,19.16
2023/05/14,0,19.16
2023/05/14,1.13,20.29
2023/05/14,-1,19.29
2023/05/14,0,19.29
2023/05/14,-1,18.29
2023/05/14,-1,17.29
2023/05/14,-1,16.29
2023/05/14,-1,15.29
2023/05/15,1.37,16.66
2023/05/15,-1,15.66
2023/05/15,3.1,18.76
2023/05/15,1.96,20.72
2023/05/15,-1,19.72
2023/05/15,1.16,20.88
2023/05/16,0,20.88
2023/05/16,1.64,22.52
2023/05/16,1.45,23.97
2023/05/18,-1,22.97
2023/05/19,0,22.97
2023/05/19,1.61,24.58
2023/05/18,-1,23.58
2023/05/20,-1,22.58
2023/05/20,-1,21.58
2023/05/21,-1,20.58
2023/05/29,0,20.58
2023/05/29,5.18,25.76
2023/05/29,3.61,29.37
2023/05/29,1.25,30.62
2023/05/29,2.42,33.04
2023/05/29,0,33.04
2023/05/29,3.71,36.75
2023/05/29,-1,35.75
