Unnamed: 0,match_id,datetime,team1_id,team2_id,team1,team2,t1_score,t2_score,win,format,team1_rank,team2_rank,lan,elim,t1_mu,t1_sigma,t2_mu,t2_sigma,ts_win_prob,t1_elo,t2_elo,elo_win_prob,t1_age,t1_xp,t2_age,t2_xp,t1_mp,t1_wr,t1_ws,t1_rust,t2_mp,t2_wr,t2_ws,t2_rust,h2h_maps,h2h_wr,h2h_rwp,t1_avg_hltv_rating,t1_sd_hltv_rating,t1_avg_fk_pr,t1_sd_fk_pr,t1_avg_cl_pr,t1_sd_cl_pr,t1_avg_pl_rating,t1_sd_pl_rating,t1_avg_pl_adr,t1_sd_pl_adr,t1_avg_plr_kast,t1_sd_plr_kast,t1_avg_pistol_wr,t1_sd_pistol_wr,t2_avg_hltv_rating,t2_sd_hltv_rating,t2_avg_fk_pr,t2_sd_fk_pr,t2_avg_cl_pr,t2_sd_cl_pr,t2_avg_pl_rating,t2_sd_pl_rating,t2_avg_pl_adr,t2_sd_pl_adr,t2_avg_plr_kast,t2_sd_plr_kast,t2_avg_pistol_wr,t2_sd_pistol_wr,t1_mrg_mp,t1_mrg_wr,t1_mrg_rwr,t1_inf_mp,t1_inf_wr,t1_inf_rwr,t1_ovp_mp,t1_ovp_wr,t1_ovp_rwr,t1_nuk_mp,t1_nuk_wr,t1_nuk_rwr,t1_vtg_mp,t1_vtg_wr,t1_vtg_rwr,t1_anc_mp,t1_anc_wr,t1_anc_rwr,t1_anu_mp,t1_anu_wr,t1_anu_rwr,t2_mrg_mp,t2_mrg_wr,t2_mrg_rwr,t2_inf_mp,t2_inf_wr,t2_inf_rwr,t2_ovp_mp,t2_ovp_wr,t2_ovp_rwr,t2_nuk_mp,t2_nuk_wr,t2_nuk_rwr,t2_vtg_mp,t2_vtg_wr,t2_vtg_rwr,t2_anc_mp,t2_anc_wr,t2_anc_rwr,t2_anu_mp,t2_anu_wr,t2_anu_rwr,map_xp,map_wr,map_rwr,age_diff,xp_diff,mp_diff,wr_diff,ws_diff,rust_diff,avg_hltv_rating_diff,sd_hltv_rating_diff,avg_fk_pr_diff,sd_fk_pr_diff,avg_cl_pr_diff,sd_cl_pr_diff,avg_pl_rating_diff,sd_pl_rating_diff,avg_pl_adr_diff,sd_pl_adr_diff,avg_plr_kast_diff,sd_plr_kast_diff,avg_pistol_wr_diff,sd_pistol_wr_diff,mrg_mp_diff,mrg_wr_diff,mrg_rwr_diff,inf_mp_diff,inf_wr_diff,inf_rwr_diff,ovp_mp_diff,ovp_wr_diff,ovp_rwr_diff,nuk_mp_diff,nuk_wr_diff,nuk_rwr_diff,vtg_mp_diff,vtg_wr_diff,vtg_rwr_diff,anc_mp_diff,anc_wr_diff,anc_rwr_diff,anu_mp_diff,anu_wr_diff,anu_rwr_diff
11,2334078,2019-06-07 16:00,5378,8068,virtuspro,ago,2,0,1,3,58,26,1,1,24.60405536,4.66009948,25.13597283,3.364628439,0.442686263,991.8787138,964.750627,0.53896131,25,15,146,61,21,0.476190476,3,3,29,0.482758621,1,1,0,0.0,0.0,0.973428571,0.199383949,13.48571429,4.364607189,1.514285714,1.227574346,0.974114286,0.199192623,70.33657143,7.143531717,66.93371429,8.624525523,0.457142857,0.365892814,1.015964912,0.195814625,13.54385965,3.46951726,1.385964912,0.893532041,1.015754386,0.195777199,72.3922807,6.7920095,68.35859649,7.415133752,0.421052632,0.334945317,9.0,0.3333333333333333,0.4388185654008439,5.0,0.2,0.437037037037037,3.0,0.0,0.4,4.0,1.0,0.5737704918032787,3.0,0.3333333333333333,0.4358974358974359,7.0,0.2857142857142857,0.4583333333333333,3.0,0.0,0.3684210526315789,9.0,0.3333333333333333,0.4922480620155038,9.0,0.6666666666666666,0.5367965367965368,10.0,0.2,0.4212454212454212,5.0,0.2,0.4198473282442748,3.0,0.0,0.3684210526315789,12.0,0.5833333333333334,0.5,7.0,0.2857142857142857,0.472636815920398,-5.0,-2.0,-3.0,-121,-46,-8,-0.006568145,2,2,-0.042536341,0.003569324,-0.0581453599999992,0.8950899290000001,0.1283208019999999,0.3340423049999999,-0.0416400999999999,0.003415424,-2.055709269999994,0.3515222170000003,-1.424882199999999,1.2093917710000008,0.036090225,0.0309474969999999,0.0,0.0,-0.0534294966146599,-4.0,-0.4666666666666666,-0.0997594997594997,-7.0,-0.2,-0.0212454212454212,-1.0,0.8,0.1539231635590038,0.0,0.3333333333333333,0.0674763832658569,-5.0,-0.2976190476190476,-0.0416666666666666,-4.0,-0.2857142857142857,-0.1042157632888191
12,2334080,2019-06-08 16:00,8846,5378,x-kom,virtuspro,1,2,0,3,47,58,1,1,26.14805478,4.467368497,26.90905221,4.459908168,0.422166847,1002.974672,1001.689178,0.501849966,37,14,26,16,20,0.45,0,4,22,0.5,4,1,0,0.0,0.0,1.061351351,0.158781886,13.27027027,2.937627731,1.27027027,1.004009493,1.060540541,0.158785695,74.55621622,5.734258995,69.22810811,6.116074451,0.418918919,0.318643949,0.981621622,0.197203606,13.45945946,4.246426762,1.513513514,1.199586001,0.982108108,0.196889842,70.47081081,6.971834602,67.43837838,8.65001219,0.486486486,0.376442926,7.0,0.2857142857142857,0.4631578947368421,4.0,0.5,0.4897959183673469,7.0,0.5714285714285714,0.532967032967033,6.0,0.8333333333333334,0.6025641025641025,5.0,0.6,0.5426356589147286,5.0,0.2,0.488235294117647,3.0,0.0,0.4216867469879518,10.0,0.4,0.4615384615384615,5.0,0.2,0.437037037037037,4.0,0.25,0.4333333333333333,4.0,1.0,0.5737704918032787,3.0,0.3333333333333333,0.4358974358974359,7.0,0.2857142857142857,0.4583333333333333,3.0,0.0,0.3684210526315789,0.0,0.0,7.0,11,-2,-2,-0.0499999999999999,-4,3,0.079729729,-0.0384217199999999,-0.1891891900000004,-1.3087990309999995,-0.243243244,-0.1955765079999998,0.0784324329999999,-0.038104147,4.085405409999993,-1.237575607,1.7897297299999906,-2.533937739,-0.067567567,-0.057798977,-3.0,-0.1142857142857143,0.0016194331983805,-1.0,0.3,0.0527588813303098,3.0,0.3214285714285714,0.0996336996336996,2.0,-0.1666666666666666,0.0287936107608238,2.0,0.2666666666666666,0.1067382230172927,-2.0,-0.0857142857142856,0.0299019607843137,0.0,0.0,0.0532656943563729
13,2334082,2019-06-09 17:05,5378,10020,virtuspro,aristocracy,0,2,0,3,58,32,1,1,27.44185768,4.39597678,27.87556484,4.177465676,0.454412754,996.6481523,1011.009735,0.479343785,27,17,5,4,23,0.52173913,5,1,7,0.285714286,0,5,1,1.0,0.542857143,1.0035,0.220403607,13.7,4.172529209,1.55,1.182159042,1.00385,0.219820103,71.2395,8.068803489,68.229,9.291147346,0.5,0.370809924,0.96,0.102158522,13.81818182,3.432946834,1.818181818,1.336085314,0.958363636,0.103635088,70.95090909,5.634700048,64.86363636,6.418908535,0.409090909,0.357909449,10.0,0.4,0.4615384615384615,5.0,0.2,0.437037037037037,4.0,0.25,0.4333333333333333,5.0,1.0,0.5733333333333334,4.0,0.5,0.5263157894736842,8.0,0.25,0.4594594594594595,3.0,0.0,0.3684210526315789,3.0,0.3333333333333333,0.4408602150537634,0.0,0.0,0.0,1.0,0.0,0.4482758620689655,2.0,0.5,0.5178571428571429,1.0,0.0,0.3846153846153846,3.0,0.3333333333333333,0.4848484848484848,1.0,0.0,0.3846153846153846,7.0,4.0,1.0,22,13,16,0.236024844,5,-4,0.0435,0.118245085,-0.1181818200000002,0.7395823750000003,-0.2681818179999999,-0.1539262719999998,0.0454863639999999,0.1161850149999999,0.2885909100000106,2.4341034410000004,3.365363639999998,2.872238811000001,0.090909091,0.012900475,7.0,0.0666666666666667,0.0206782464846981,5.0,0.2,0.437037037037037,3.0,0.25,-0.0149425287356321,3.0,0.5,0.0554761904761904,3.0,0.5,0.1417004048582995,5.0,-0.0833333333333333,-0.0253890253890253,2.0,0.0,-0.0161943319838057
18,2334119,2019-06-11 14:00,8135,9183,forze,winstrike,3,0,1,5,29,51,1,1,23.69233423,3.097442674,26.96552958,4.417867067,0.182986391,953.7331146,1025.329943,0.398398028,78,32,12,3,34,0.441176471,1,9,21,0.523809524,1,5,2,1.0,0.623688156,1.062542373,0.240420488,12.88135593,3.594179597,1.220338983,1.179885036,1.062271186,0.240074694,73.18508475,9.26846565,69.88508475,9.923876767,0.516949153,0.356133922,1.008837209,0.218836344,12.79069767,3.605926256,1.11627907,0.945227974,1.008418605,0.218910859,71.78837209,9.61497498,66.71488372,9.805263032,0.418604651,0.356504877,15.0,0.4666666666666667,0.5024875621890548,18.0,0.6111111111111112,0.55,7.0,0.2857142857142857,0.4457142857142857,8.0,0.375,0.4615384615384615,1.0,0.0,0.3043478260869565,7.0,0.5714285714285714,0.4702702702702703,3.0,0.3333333333333333,0.48,13.0,0.5384615384615384,0.4789156626506024,1.0,0.0,0.4074074074074074,5.0,0.8,0.5289256198347108,6.0,0.3333333333333333,0.4880952380952381,1.0,1.0,0.5517241379310345,8.0,0.375,0.4933333333333333,9.0,0.3333333333333333,0.4625,2.0,0.0,-1.0,66,29,13,-0.082633053,0,4,0.0537051640000001,0.021584144,0.0906582599999996,-0.0117466589999999,0.1040599129999999,0.2346570619999999,0.0538525810000001,0.0211638349999999,1.3967126600000055,-0.3465093299999999,3.170201030000001,0.1186137350000002,0.098344502,-0.000370955,2.0,-0.0717948717948717,0.0235718995384523,17.0,0.6111111111111112,0.1425925925925926,2.0,-0.5142857142857143,-0.083211334120425,2.0,0.0416666666666666,-0.0265567765567765,0.0,-1.0,-0.2473763118440779,-1.0,0.1964285714285714,-0.023063063063063,-6.0,0.0,0.0174999999999999
68,2334324,2019-06-15 15:30,7532,5378,big,virtuspro,0,2,0,3,22,50,1,1,25.75204515,4.170645089,26.25096187,4.185882314,0.446974461,1043.289797,982.391409,0.586753201,25,7,33,24,20,0.35,1,3,26,0.461538462,2,3,2,1.0,0.592592593,0.983863636,0.212080773,13.43181818,4.244770726,1.340909091,1.347441714,0.984,0.212331216,71.51772727,7.894913456,66.55181818,8.181802778,0.465909091,0.343738261,1.013555556,0.212227923,13.97777778,5.426228029,1.555555556,1.239274977,1.0136,0.211520884,71.60666667,7.163938085,68.776,8.214623925,0.455555556,0.377450839,9.0,0.3333333333333333,0.4046511627906977,7.0,0.5714285714285714,0.5051020408163265,10.0,0.2,0.444,1.0,0.0,0.4074074074074074,0.0,0.0,0.0,4.0,0.5,0.5,11.0,0.2727272727272727,0.4265734265734265,10.0,0.4,0.4769230769230769,6.0,0.3333333333333333,0.4782608695652174,5.0,0.4,0.4657534246575342,8.0,0.75,0.5255813953488372,4.0,0.5,0.5263157894736842,10.0,0.2,0.4430379746835443,2.0,0.0,0.4285714285714285,-1.0,-1.0,-3.0,-8,-17,-6,-0.111538462,-1,0,-0.0296919199999999,-0.00014715,-0.5459595999999998,-1.1814573030000002,-0.2146464649999999,0.1081667369999999,-0.0296,0.0008103319999999,-0.088939400000001,0.7309753710000004,-2.2241818199999983,-0.0328211469999999,0.010353535,-0.0337125779999999,-1.0,-0.0666666666666667,-0.0722719141323792,1.0,0.238095238095238,0.026841171251109,5.0,-0.2,-0.0217534246575342,-7.0,-0.75,-0.1181739879414298,-4.0,-0.5,-0.5263157894736842,-6.0,0.3,0.0569620253164557,9.0,0.2727272727272727,-0.0019980019980019
69,2334326,2019-06-16 11:15,8513,5378,windigo,virtuspro,2,1,1,3,19,50,1,1,26.16443231,3.121624297,26.16685603,3.842125157,0.499719293,972.7938857,978.258941,0.492135802,19,6,34,25,27,0.518518519,0,5,27,0.481481481,3,1,0,0.0,0.0,1.034769231,0.220754703,13.09230769,3.87783872,1.815384615,1.445335284,1.034523077,0.220749849,73.61169231,8.727842551,68.96123077,8.441486473,0.492307692,0.333885145,1.024468085,0.215957132,14.08510638,5.342840854,1.531914894,1.235142576,1.024595745,0.215387198,71.86085106,7.131463348,69.03829787,8.160078045,0.468085106,0.377622114,13.0,0.6153846153846154,0.5098039215686274,10.0,0.6,0.5528455284552846,13.0,0.6153846153846154,0.5105820105820106,9.0,0.2222222222222222,0.4072398190045249,1.0,0.0,0.3043478260869565,6.0,0.3333333333333333,0.4525139664804469,13.0,0.3076923076923077,0.4600550964187327,11.0,0.4545454545454545,0.498220640569395,6.0,0.3333333333333333,0.4782608695652174,5.0,0.4,0.4657534246575342,8.0,0.75,0.5255813953488372,4.0,0.5,0.5263157894736842,10.0,0.2,0.4430379746835443,3.0,0.3333333333333333,0.4777777777777778,3.0,1.0,1.0,-15,-19,0,0.037037038,-3,4,0.0103011459999999,0.004797571,-0.992798689999999,-1.465002134,0.2834697209999999,0.2101927079999999,0.0099273319999999,0.0053626509999999,1.7508412499999937,1.5963792030000006,-0.0770670999999936,0.2814084279999989,0.024222586,-0.043736969,2.0,0.1608391608391609,0.0115832809992323,4.0,0.2666666666666666,0.0745846588900671,8.0,0.2153846153846154,0.0448285859244763,1.0,-0.5277777777777778,-0.1183415763443123,-3.0,-0.5,-0.2219679633867276,-4.0,0.1333333333333333,0.0094759917969026,10.0,-0.0256410256410256,-0.017722681359045
70,2334327,2019-06-16 16:00,8297,9928,furia,gamerlegion,0,2,0,3,5,40,1,1,28.79065125,3.501833926,25.77266344,3.297503164,0.812479943,1034.110862,948.705372,0.620491173,145,54,78,29,33,0.757575758,0,7,28,0.5,0,5,0,0.0,0.0,1.120810811,0.204210786,13.09459459,3.365841604,1.5,1.327973461,1.121,0.204459538,76.22243243,7.847352422,71.81081081,7.999238605,0.540540541,0.355998375,1.022608696,0.242410313,12.41304348,3.785418746,1.543478261,1.263303498,1.023173913,0.242976677,73.08565217,10.05517705,67.14521739,9.811194524,0.565217391,0.30589668,9.0,0.7777777777777778,0.569620253164557,19.0,0.7894736842105263,0.5845824411134903,13.0,0.4615384615384615,0.5027624309392266,16.0,0.8125,0.5650118203309693,3.0,1.0,0.7164179104477612,10.0,0.5,0.5018587360594795,0.0,0.0,0.0,8.0,0.625,0.5217391304347826,7.0,0.4285714285714285,0.4893617021276595,10.0,0.6,0.5,4.0,0.25,0.3209876543209876,3.0,0.6666666666666666,0.6111111111111112,3.0,0.0,0.3883495145631068,9.0,0.7777777777777778,0.5622489959839357,4.0,3.0,5.0,67,25,5,0.257575758,0,2,0.0982021149999998,-0.0381995269999999,0.6815511099999991,-0.419577142,-0.0434782609999999,0.064669963,0.097826087,-0.038517139,3.1367802599999948,-2.207824627999999,4.665593420000008,-1.811955918999999,-0.0246768499999999,0.050101695,1.0,0.1527777777777778,0.0478811227297744,12.0,0.3609022556390978,0.0952207389858307,3.0,-0.1384615384615384,0.0027624309392265,12.0,0.5625,0.2440241660099816,0.0,0.3333333333333333,0.1053067993366499,7.0,0.5,0.1135092214963727,-9.0,-0.7777777777777778,-0.5622489959839357
71,2334328,2019-06-16 20:00,8513,9928,windigo,gamerlegion,2,0,1,3,19,40,1,1,26.16443231,3.121624297,25.77266344,3.297503164,0.546863809,972.7938857,948.705372,0.534610718,19,7,78,30,28,0.535714286,1,0,29,0.517241379,1,0,4,0.0,0.368944099,1.040441176,0.22130252,13.20588235,3.859894937,1.838235294,1.441101439,1.040205882,0.221387108,73.88588235,8.784917596,69.08441176,8.487939434,0.507352941,0.337515218,1.0275,0.238471696,12.41666667,3.707162737,1.5625,1.240064682,1.028041667,0.239016209,73.29583333,9.894988596,67.36166667,9.676029517,0.5625,0.29973947,14.0,0.6428571428571429,0.5238095238095238,10.0,0.6,0.5528455284552846,14.0,0.6428571428571429,0.5122549019607843,10.0,0.2,0.4117647058823529,1.0,0.0,0.3043478260869565,6.0,0.3333333333333333,0.4525139664804469,13.0,0.3076923076923077,0.4600550964187327,8.0,0.625,0.5217391304347826,8.0,0.5,0.5023255813953489,10.0,0.6,0.5,4.0,0.25,0.3209876543209876,4.0,0.75,0.6,3.0,0.0,0.3883495145631068,9.0,0.7777777777777778,0.5622489959839357,5.0,1.0,3.0,-59,-23,-1,0.018472907,0,0,0.0129411759999999,-0.017169176,0.7892156799999999,0.1527321999999999,0.2757352939999999,0.201036757,0.0121642149999998,-0.017629101,0.5900490200000092,-1.1100709999999996,1.7227450899999894,-1.1880900830000003,-0.055147059,0.037775748,6.0,0.0178571428571429,0.0020703933747412,2.0,0.0999999999999999,0.0505199470599356,4.0,0.0428571428571429,0.0122549019607842,6.0,-0.0499999999999999,0.0907770515613652,-3.0,-0.75,-0.2956521739130434,3.0,0.3333333333333333,0.0641644519173401,4.0,-0.4700854700854701,-0.1021938995652029
72,2334329,2019-06-18 12:00,5995,8008,g2,grayhound,16,13,1,1,15,19,1,1,28.29862209,3.316870336,26.93115841,5.877526145,0.633445237,1015.231976,1055.6022,0.442162636,88,29,73,9,28,0.607142857,1,4,8,0.5,1,27,0,0.0,0.0,1.106031746,0.234070534,13.93650794,4.457463924,1.682539683,1.179526362,1.105873016,0.233964011,75.64349206,8.660105604,70.90507937,9.412927934,0.53968254,0.348484102,1.057058824,0.225251877,13.94117647,4.491437451,1.470588235,1.288758959,1.056470588,0.225435035,73.82941176,8.18682476,69.46117647,9.204519275,0.411764706,0.308473191,0.0,0.0,0.0,11.0,0.4545454545454545,0.5091463414634146,8.0,0.625,0.5714285714285714,12.0,0.5833333333333334,0.5329153605015674,1.0,0.0,0.4482758620689655,14.0,0.5,0.5283505154639175,14.0,0.5714285714285714,0.5445026178010471,4.0,0.5,0.4636363636363636,3.0,0.6666666666666666,0.5222222222222223,7.0,0.5714285714285714,0.5,1.0,1.0,0.7619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.484375,5.0,0.0,1.0,15,20,20,0.107142857,0,-23,0.0489729219999999,0.008818657,-0.00466853,-0.0339735270000005,0.211951448,-0.1092325969999998,0.049402428,0.0085289759999999,1.8140803000000003,0.4732808439999996,1.4439028999999977,0.2084086590000016,0.127917834,0.040010911,-4.0,-0.5,-0.4636363636363636,8.0,-0.2121212121212121,-0.0130758807588076,1.0,0.0535714285714286,0.0714285714285714,11.0,-0.4166666666666666,-0.2289894014031944,1.0,0.0,0.4482758620689655,14.0,0.5,0.5283505154639175,12.0,0.0714285714285714,0.0601276178010471
73,2334330,2019-06-18 12:00,4991,6673,fnatic,nrg,12,16,0,1,7,9,1,1,27.87971221,3.713978295,27.8540426,3.372343429,0.502958808,994.7905614,1051.945438,0.418481545,149,41,4,2,26,0.576923077,1,7,34,0.5,0,10,7,0.857142857,0.529630538,1.075588235,0.206919865,13.60294118,3.618334464,1.617647059,1.328747882,1.075823529,0.206757526,75.42735294,8.387257776,69.555,8.329125634,0.463235294,0.300932087,1.09047619,0.218722326,13.58730159,3.697424761,1.682539683,1.294989083,1.090253968,0.218258182,74.74888889,8.087104984,70.90857143,8.371256729,0.484126984,0.377631024,15.0,0.6,0.5432098765432098,13.0,0.4615384615384615,0.5043988269794721,9.0,0.4444444444444444,0.5239852398523985,12.0,0.5,0.4837758112094395,2.0,0.0,0.3469387755102041,7.0,0.8571428571428571,0.5810055865921788,5.0,0.4,0.4861111111111111,15.0,0.6666666666666666,0.5660377358490566,8.0,0.125,0.4120603015075377,10.0,0.4,0.4573378839590443,7.0,0.5714285714285714,0.5353535353535354,2.0,0.0,0.4385964912280701,13.0,0.9230769230769232,0.6190476190476191,4.0,0.75,0.5178571428571429,1.0,-2.0,-3.0,145,39,-8,0.076923077,1,-3,-0.014887955,-0.0118024609999999,0.015639590000001,-0.079090297,-0.0648926239999998,0.0337587990000001,-0.014430439,-0.0115006559999999,0.6784640500000023,0.3001527920000004,-1.353571429999988,-0.0421310950000002,-0.0208916899999999,-0.0766989369999999,0.0,-0.0666666666666666,-0.0228278593058467,5.0,0.3365384615384615,0.0923385254719344,-1.0,0.0444444444444444,0.0666473558933541,5.0,-0.0714285714285714,-0.0515777241440958,0.0,0.0,-0.091657715717866,-6.0,-0.065934065934066,-0.0380420324554402,1.0,-0.35,-0.0317460317460318
