match_id,datetime,team1_id,team2_id,team1,team2,t1_score,t2_score,win,format,team1_rank,team2_rank,lan,elim,t1_mu,t1_sigma,t2_mu,t2_sigma,ts_win_prob,t1_elo,t2_elo,elo_win_prob,t1_age,t1_xp,t2_age,t2_xp,t1_mp,t1_wr,t1_ws,t1_rust,t2_mp,t2_wr,t2_ws,t2_rust,h2h_maps,h2h_wr,h2h_rwp,t1_avg_hltv_rating,t1_sd_hltv_rating,t1_avg_fk_pr,t1_sd_fk_pr,t1_avg_cl_pr,t1_sd_cl_pr,t1_avg_pl_rating,t1_sd_pl_rating,t1_avg_pl_adr,t1_sd_pl_adr,t1_avg_plr_kast,t1_sd_plr_kast,t1_avg_pistol_wr,t1_sd_pistol_wr,t2_avg_hltv_rating,t2_sd_hltv_rating,t2_avg_fk_pr,t2_sd_fk_pr,t2_avg_cl_pr,t2_sd_cl_pr,t2_avg_pl_rating,t2_sd_pl_rating,t2_avg_pl_adr,t2_sd_pl_adr,t2_avg_plr_kast,t2_sd_plr_kast,t2_avg_pistol_wr,t2_sd_pistol_wr,t1_mrg_mp,t1_mrg_wr,t1_mrg_rwr,t1_inf_mp,t1_inf_wr,t1_inf_rwr,t1_ovp_mp,t1_ovp_wr,t1_ovp_rwr,t1_nuk_mp,t1_nuk_wr,t1_nuk_rwr,t1_vtg_mp,t1_vtg_wr,t1_vtg_rwr,t1_anc_mp,t1_anc_wr,t1_anc_rwr,t1_anu_mp,t1_anu_wr,t1_anu_rwr,t2_mrg_mp,t2_mrg_wr,t2_mrg_rwr,t2_inf_mp,t2_inf_wr,t2_inf_rwr,t2_ovp_mp,t2_ovp_wr,t2_ovp_rwr,t2_nuk_mp,t2_nuk_wr,t2_nuk_rwr,t2_vtg_mp,t2_vtg_wr,t2_vtg_rwr,t2_anc_mp,t2_anc_wr,t2_anc_rwr,t2_anu_mp,t2_anu_wr,t2_anu_rwr,map_xp,map_wr,map_rwr,age_diff,xp_diff,mp_diff,wr_diff,ws_diff,rust_diff,avg_hltv_rating_diff,sd_hltv_rating_diff,avg_fk_pr_diff,sd_fk_pr_diff,avg_cl_pr_diff,sd_cl_pr_diff,avg_pl_rating_diff,sd_pl_rating_diff,avg_pl_adr_diff,sd_pl_adr_diff,avg_plr_kast_diff,sd_plr_kast_diff,avg_pistol_wr_diff,sd_pistol_wr_diff,mrg_mp_diff,mrg_wr_diff,mrg_rwr_diff,inf_mp_diff,inf_wr_diff,inf_rwr_diff,ovp_mp_diff,ovp_wr_diff,ovp_rwr_diff,nuk_mp_diff,nuk_wr_diff,nuk_rwr_diff,vtg_mp_diff,vtg_wr_diff,vtg_rwr_diff,anc_mp_diff,anc_wr_diff,anc_rwr_diff,anu_mp_diff,anu_wr_diff,anu_rwr_diff
2334078,2019/06/07 16:00,5378,8068,virtuspro,ago,2,0,1,3,58,26,1,1,24.60405536,4.66009948,25.13597283,3.364628439,0.442686263,991.8787138,964.750627,0.53896131,25,15,146,61,21,0.476190476,3,3,29,0.482758621,1,1,0,0,0,0.973428571,0.199383949,13.48571429,4.364607189,1.514285714,1.227574346,0.974114286,0.199192623,70.33657143,7.143531717,66.93371429,8.624525523,0.457142857,0.365892814,1.015964912,0.195814625,13.54385965,3.46951726,1.385964912,0.893532041,1.015754386,0.195777199,72.3922807,6.7920095,68.35859649,7.415133752,0.421052632,0.334945317,9,0.333333333,0.438818565,5,0.2,0.437037037,3,0,0.4,4,1,0.573770492,3,0.333333333,0.435897436,7,0.285714286,0.458333333,3,0,0.368421053,9,0.333333333,0.492248062,9,0.666666667,0.536796537,10,0.2,0.421245421,5,0.2,0.419847328,3,0,0.368421053,12,0.583333333,0.5,7,0.285714286,0.472636816,-5,-2,-3,-121,-46,-8,-0.006568145,2,2,-0.042536341,0.003569324,-0.05814536,0.895089929,0.128320802,0.334042305,-0.0416401,0.003415424,-2.05570927,0.351522217,-1.4248822,1.209391771,0.036090225,0.030947497,0,0,-0.053429497,-4,-0.466666667,-0.0997595,-7,-0.2,-0.021245421,-1,0.8,0.153923164,0,0.333333333,0.067476383,-5,-0.297619048,-0.041666667,-4,-0.285714286,-0.104215763
2334080,2019/06/08 16:00,8846,5378,x-kom,virtuspro,1,2,0,3,47,58,1,1,26.14805478,4.467368497,26.90905221,4.459908168,0.422166847,1002.974672,1001.689178,0.501849966,37,14,26,16,20,0.45,0,4,22,0.5,4,1,0,0,0,1.061351351,0.158781886,13.27027027,2.937627731,1.27027027,1.004009493,1.060540541,0.158785695,74.55621622,5.734258995,69.22810811,6.116074451,0.418918919,0.318643949,0.981621622,0.197203606,13.45945946,4.246426762,1.513513514,1.199586001,0.982108108,0.196889842,70.47081081,6.971834602,67.43837838,8.65001219,0.486486486,0.376442926,7,0.285714286,0.463157895,4,0.5,0.489795918,7,0.571428571,0.532967033,6,0.833333333,0.602564103,5,0.6,0.542635659,5,0.2,0.488235294,3,0,0.421686747,10,0.4,0.461538462,5,0.2,0.437037037,4,0.25,0.433333333,4,1,0.573770492,3,0.333333333,0.435897436,7,0.285714286,0.458333333,3,0,0.368421053,0,0,7,11,-2,-2,-0.05,-4,3,0.079729729,-0.03842172,-0.18918919,-1.308799031,-0.243243244,-0.195576508,0.078432433,-0.038104147,4.08540541,-1.237575607,1.78972973,-2.533937739,-0.067567567,-0.057798977,-3,-0.114285714,0.001619433,-1,0.3,0.052758881,3,0.321428571,0.0996337,2,-0.166666667,0.028793611,2,0.266666667,0.106738223,-2,-0.085714286,0.029901961,0,0,0.053265694
2334082,2019/06/09 17:05,5378,10020,virtuspro,aristocracy,0,2,0,3,58,32,1,1,27.44185768,4.39597678,27.87556484,4.177465676,0.454412754,996.6481523,1011.009735,0.479343785,27,17,5,4,23,0.52173913,5,1,7,0.285714286,0,5,1,1,0.542857143,1.0035,0.220403607,13.7,4.172529209,1.55,1.182159042,1.00385,0.219820103,71.2395,8.068803489,68.229,9.291147346,0.5,0.370809924,0.96,0.102158522,13.81818182,3.432946834,1.818181818,1.336085314,0.958363636,0.103635088,70.95090909,5.634700048,64.86363636,6.418908535,0.409090909,0.357909449,10,0.4,0.461538462,5,0.2,0.437037037,4,0.25,0.433333333,5,1,0.573333333,4,0.5,0.526315789,8,0.25,0.459459459,3,0,0.368421053,3,0.333333333,0.440860215,0,0,0,1,0,0.448275862,2,0.5,0.517857143,1,0,0.384615385,3,0.333333333,0.484848485,1,0,0.384615385,7,4,1,22,13,16,0.236024844,5,-4,0.0435,0.118245085,-0.11818182,0.739582375,-0.268181818,-0.153926272,0.045486364,0.116185015,0.28859091,2.434103441,3.36536364,2.872238811,0.090909091,0.012900475,7,0.066666667,0.020678246,5,0.2,0.437037037,3,0.25,-0.014942529,3,0.5,0.05547619,3,0.5,0.141700405,5,-0.083333333,-0.025389025,2,0,-0.016194332
2334119,2019/06/11 14:00,8135,9183,forze,winstrike,3,0,1,5,29,51,1,1,23.69233423,3.097442674,26.96552958,4.417867067,0.182986391,953.7331146,1025.329943,0.398398028,78,32,12,3,34,0.441176471,1,9,21,0.523809524,1,5,2,1,0.623688156,1.062542373,0.240420488,12.88135593,3.594179597,1.220338983,1.179885036,1.062271186,0.240074694,73.18508475,9.26846565,69.88508475,9.923876767,0.516949153,0.356133922,1.008837209,0.218836344,12.79069767,3.605926256,1.11627907,0.945227974,1.008418605,0.218910859,71.78837209,9.61497498,66.71488372,9.805263032,0.418604651,0.356504877,15,0.466666667,0.502487562,18,0.611111111,0.55,7,0.285714286,0.445714286,8,0.375,0.461538462,1,0,0.304347826,7,0.571428571,0.47027027,3,0.333333333,0.48,13,0.538461538,0.478915663,1,0,0.407407407,5,0.8,0.52892562,6,0.333333333,0.488095238,1,1,0.551724138,8,0.375,0.493333333,9,0.333333333,0.4625,2,0,-1,66,29,13,-0.082633053,0,4,0.053705164,0.021584144,0.09065826,-0.011746659,0.104059913,0.234657062,0.053852581,0.021163835,1.39671266,-0.34650933,3.17020103,0.118613735,0.098344502,-0.000370955,2,-0.071794872,0.0235719,17,0.611111111,0.142592593,2,-0.514285714,-0.083211334,2,0.041666667,-0.026556777,0,-1,-0.247376312,-1,0.196428571,-0.023063063,-6,0,0.0175
2334324,2019/06/15 15:30,7532,5378,big,virtuspro,0,2,0,3,22,50,1,1,25.75204515,4.170645089,26.25096187,4.185882314,0.446974461,1043.289797,982.391409,0.586753201,25,7,33,24,20,0.35,1,3,26,0.461538462,2,3,2,1,0.592592593,0.983863636,0.212080773,13.43181818,4.244770726,1.340909091,1.347441714,0.984,0.212331216,71.51772727,7.894913456,66.55181818,8.181802778,0.465909091,0.343738261,1.013555556,0.212227923,13.97777778,5.426228029,1.555555556,1.239274977,1.0136,0.211520884,71.60666667,7.163938085,68.776,8.214623925,0.455555556,0.377450839,9,0.333333333,0.404651163,7,0.571428571,0.505102041,10,0.2,0.444,1,0,0.407407407,0,0,0,4,0.5,0.5,11,0.272727273,0.426573427,10,0.4,0.476923077,6,0.333333333,0.47826087,5,0.4,0.465753425,8,0.75,0.525581395,4,0.5,0.526315789,10,0.2,0.443037975,2,0,0.428571429,-1,-1,-3,-8,-17,-6,-0.111538462,-1,0,-0.02969192,-0.00014715,-0.5459596,-1.181457303,-0.214646465,0.108166737,-0.0296,0.000810332,-0.0889394,0.730975371,-2.22418182,-0.032821147,0.010353535,-0.033712578,-1,-0.066666667,-0.072271914,1,0.238095238,0.026841171,5,-0.2,-0.021753425,-7,-0.75,-0.118173988,-4,-0.5,-0.526315789,-6,0.3,0.056962025,9,0.272727273,-0.001998002
2334326,2019/06/16 11:15,8513,5378,windigo,virtuspro,2,1,1,3,19,50,1,1,26.16443231,3.121624297,26.16685603,3.842125157,0.499719293,972.7938857,978.258941,0.492135802,19,6,34,25,27,0.518518519,0,5,27,0.481481481,3,1,0,0,0,1.034769231,0.220754703,13.09230769,3.87783872,1.815384615,1.445335284,1.034523077,0.220749849,73.61169231,8.727842551,68.96123077,8.441486473,0.492307692,0.333885145,1.024468085,0.215957132,14.08510638,5.342840854,1.531914894,1.235142576,1.024595745,0.215387198,71.86085106,7.131463348,69.03829787,8.160078045,0.468085106,0.377622114,13,0.615384615,0.509803922,10,0.6,0.552845528,13,0.615384615,0.510582011,9,0.222222222,0.407239819,1,0,0.304347826,6,0.333333333,0.452513966,13,0.307692308,0.460055096,11,0.454545455,0.498220641,6,0.333333333,0.47826087,5,0.4,0.465753425,8,0.75,0.525581395,4,0.5,0.526315789,10,0.2,0.443037975,3,0.333333333,0.477777778,3,1,1,-15,-19,0,0.037037038,-3,4,0.010301146,0.004797571,-0.99279869,-1.465002134,0.283469721,0.210192708,0.009927332,0.005362651,1.75084125,1.596379203,-0.0770671,0.281408428,0.024222586,-0.043736969,2,0.160839161,0.011583281,4,0.266666667,0.074584659,8,0.215384615,0.044828586,1,-0.527777778,-0.118341576,-3,-0.5,-0.221967963,-4,0.133333333,0.009475992,10,-0.025641026,-0.017722681
2334327,2019/06/16 16:00,8297,9928,furia,gamerlegion,0,2,0,3,5,40,1,1,28.79065125,3.501833926,25.77266344,3.297503164,0.812479943,1034.110862,948.705372,0.620491173,145,54,78,29,33,0.757575758,0,7,28,0.5,0,5,0,0,0,1.120810811,0.204210786,13.09459459,3.365841604,1.5,1.327973461,1.121,0.204459538,76.22243243,7.847352422,71.81081081,7.999238605,0.540540541,0.355998375,1.022608696,0.242410313,12.41304348,3.785418746,1.543478261,1.263303498,1.023173913,0.242976677,73.08565217,10.05517705,67.14521739,9.811194524,0.565217391,0.30589668,9,0.777777778,0.569620253,19,0.789473684,0.584582441,13,0.461538462,0.502762431,16,0.8125,0.56501182,3,1,0.71641791,10,0.5,0.501858736,0,0,0,8,0.625,0.52173913,7,0.428571429,0.489361702,10,0.6,0.5,4,0.25,0.320987654,3,0.666666667,0.611111111,3,0,0.388349515,9,0.777777778,0.562248996,4,3,5,67,25,5,0.257575758,0,2,0.098202115,-0.038199527,0.68155111,-0.419577142,-0.043478261,0.064669963,0.097826087,-0.038517139,3.13678026,-2.207824628,4.66559342,-1.811955919,-0.02467685,0.050101695,1,0.152777778,0.047881123,12,0.360902256,0.095220739,3,-0.138461538,0.002762431,12,0.5625,0.244024166,0,0.333333333,0.105306799,7,0.5,0.113509221,-9,-0.777777778,-0.562248996
2334328,2019/06/16 20:00,8513,9928,windigo,gamerlegion,2,0,1,3,19,40,1,1,26.16443231,3.121624297,25.77266344,3.297503164,0.546863809,972.7938857,948.705372,0.534610718,19,7,78,30,28,0.535714286,1,0,29,0.517241379,1,0,4,0,0.368944099,1.040441176,0.22130252,13.20588235,3.859894937,1.838235294,1.441101439,1.040205882,0.221387108,73.88588235,8.784917596,69.08441176,8.487939434,0.507352941,0.337515218,1.0275,0.238471696,12.41666667,3.707162737,1.5625,1.240064682,1.028041667,0.239016209,73.29583333,9.894988596,67.36166667,9.676029517,0.5625,0.29973947,14,0.642857143,0.523809524,10,0.6,0.552845528,14,0.642857143,0.512254902,10,0.2,0.411764706,1,0,0.304347826,6,0.333333333,0.452513966,13,0.307692308,0.460055096,8,0.625,0.52173913,8,0.5,0.502325581,10,0.6,0.5,4,0.25,0.320987654,4,0.75,0.6,3,0,0.388349515,9,0.777777778,0.562248996,5,1,3,-59,-23,-1,0.018472907,0,0,0.012941176,-0.017169176,0.78921568,0.1527322,0.275735294,0.201036757,0.012164215,-0.017629101,0.59004902,-1.110071,1.72274509,-1.188090083,-0.055147059,0.037775748,6,0.017857143,0.002070393,2,0.1,0.050519947,4,0.042857143,0.012254902,6,-0.05,0.090777052,-3,-0.75,-0.295652174,3,0.333333333,0.064164452,4,-0.47008547,-0.1021939
2334329,2019/06/18 12:00,5995,8008,g2,grayhound,16,13,1,1,15,19,1,1,28.29862209,3.316870336,26.93115841,5.877526145,0.633445237,1015.231976,1055.6022,0.442162636,88,29,73,9,28,0.607142857,1,4,8,0.5,1,27,0,0,0,1.106031746,0.234070534,13.93650794,4.457463924,1.682539683,1.179526362,1.105873016,0.233964011,75.64349206,8.660105604,70.90507937,9.412927934,0.53968254,0.348484102,1.057058824,0.225251877,13.94117647,4.491437451,1.470588235,1.288758959,1.056470588,0.225435035,73.82941176,8.18682476,69.46117647,9.204519275,0.411764706,0.308473191,0,0,0,11,0.454545455,0.509146341,8,0.625,0.571428571,12,0.583333333,0.532915361,1,0,0.448275862,14,0.5,0.528350515,14,0.571428571,0.544502618,4,0.5,0.463636364,3,0.666666667,0.522222222,7,0.571428571,0.5,1,1,0.761904762,0,0,0,0,0,0,2,0.5,0.484375,5,0,1,15,20,20,0.107142857,0,-23,0.048972922,0.008818657,-0.00466853,-0.033973527,0.211951448,-0.109232597,0.049402428,0.008528976,1.8140803,0.473280844,1.4439029,0.208408659,0.127917834,0.040010911,-4,-0.5,-0.463636364,8,-0.212121212,-0.013075881,1,0.053571429,0.071428571,11,-0.416666667,-0.228989401,1,0,0.448275862,14,0.5,0.528350515,12,0.071428571,0.060127618
2334330,2019/06/18 12:00,4991,6673,fnatic,nrg,12,16,0,1,7,9,1,1,27.87971221,3.713978295,27.8540426,3.372343429,0.502958808,994.7905614,1051.945438,0.418481545,149,41,4,2,26,0.576923077,1,7,34,0.5,0,10,7,0.857142857,0.529630538,1.075588235,0.206919865,13.60294118,3.618334464,1.617647059,1.328747882,1.075823529,0.206757526,75.42735294,8.387257776,69.555,8.329125634,0.463235294,0.300932087,1.09047619,0.218722326,13.58730159,3.697424761,1.682539683,1.294989083,1.090253968,0.218258182,74.74888889,8.087104984,70.90857143,8.371256729,0.484126984,0.377631024,15,0.6,0.543209877,13,0.461538462,0.504398827,9,0.444444444,0.52398524,12,0.5,0.483775811,2,0,0.346938776,7,0.857142857,0.581005587,5,0.4,0.486111111,15,0.666666667,0.566037736,8,0.125,0.412060302,10,0.4,0.457337884,7,0.571428571,0.535353535,2,0,0.438596491,13,0.923076923,0.619047619,4,0.75,0.517857143,1,-2,-3,145,39,-8,0.076923077,1,-3,-0.014887955,-0.011802461,0.01563959,-0.079090297,-0.064892624,0.033758799,-0.014430439,-0.011500656,0.67846405,0.300152792,-1.35357143,-0.042131095,-0.02089169,-0.076698937,0,-0.066666667,-0.022827859,5,0.336538462,0.092338525,-1,0.044444444,0.066647356,5,-0.071428571,-0.051577724,0,0,-0.091657716,-6,-0.065934066,-0.038042032,1,-0.35,-0.031746032
