,rank,opp_rank,rank_diff,matches_played,match_winrate,opp_matches_played,opp_winrate,h2h_maps,h2h_wr,h2h_opp_wr,lan,elim,ts_mu,ts_sigma,opp_ts_mu,opp_ts_sigma,ts_win_prob,age,lineup_xp,opp_age,opp_xp,t1_ws,t2_ws,cooldown,opp_cooldown,win
0,19,74,55,18.0,0.5,9.0,0.2222222222222222,2.0,1.0,0.0,0,0,27.491271586366015,1.9164049821019582,26.689759576285333,1.6991183114718313,0.6228395892128369,0,1,59,9,3,1,36,41,1
1,41,20,-21,9.0,0.4444444444444444,17.0,0.5882352941176471,8.0,0.375,0.625,0,0,26.47590114503135,2.2567018922808995,27.267998906654356,2.0619419631517055,0.39777034263094413,0,1,192,32,1,3,42,43,0
2,19,42,23,18.0,0.5555555555555556,3.0,0.3333333333333333,3.0,0.3333333333333333,0.6666666666666666,0,0,27.67601686782434,1.9068984462849048,26.782410439296463,1.8851551895275462,0.6305299657985257,1,2,1,2,4,1,37,85,0
3,20,36,16,18.0,0.6111111111111112,14.0,0.5,5.0,0.8,0.2,0,0,27.491183786668024,2.0475610141412197,27.647959152649,1.4681459356842417,0.4751920622804806,193,33,1,2,4,1,44,33,1
4,19,41,22,19.0,0.5263157894736842,10.0,0.5,3.0,0.3333333333333333,0.6666666666666666,0,1,27.393659085096722,1.8955465070988253,26.42959550073587,2.204647474169204,0.6298960243610312,3,3,3,3,0,1,2,3,0
5,1,32,31,16.0,0.5625,6.0,0.0,3.0,0.3333333333333333,0.6666666666666666,1,0,28.449688534095124,1.337397593914249,24.79446755132298,2.1316649657177704,0.9268212472963677,0,1,0,1,0,0,35,31,0
6,11,18,7,12.0,0.25,13.0,0.6153846153846154,2.0,1.0,0.0,1,0,27.761711561598737,1.3480381505637218,29.49128395433446,1.872454886735536,0.22673798110884014,153,34,0,1,0,0,34,32,1
7,4,23,19,10.0,0.6,10.0,0.6,2.0,1.0,0.0,1,0,28.521119592297346,1.3345211228390346,26.41791250089412,1.5444649019319516,0.8485888388235089,0,1,155,28,0,0,34,39,1
8,3,12,9,13.0,0.5384615384615384,11.0,0.2727272727272727,5.0,0.4,0.6,1,0,28.34229308549751,1.3917041807415842,26.978411132349276,1.4604590651047955,0.7505016944836025,197,37,157,30,0,0,33,34,0
9,2,15,13,8.0,0.625,18.0,0.5,2.0,1.0,0.0,1,0,28.441875966307272,1.5298774431743944,26.997774554651425,1.4604096790009966,0.75262798385644,153,25,0,1,4,0,37,34,1
10,9,16,7,12.0,0.4166666666666667,7.0,0.2857142857142857,6.0,0.5,0.5,1,0,27.95070748014723,2.665996806657202,27.08210132958917,2.210687388265245,0.5990158695728951,36,2,0,1,0,0,36,56,1
11,32,11,-21,6.0,0.16666666666666666,13.0,0.3076923076923077,2.0,0.0,1.0,1,0,25.43988342517144,2.106791260583228,27.928105993352734,1.345993827406242,0.15980305955835128,2,2,155,35,1,1,33,36,0
12,1,18,17,15.0,0.4666666666666667,13.0,0.6153846153846154,3.0,0.6666666666666666,0.3333333333333333,1,1,28.220456297824107,1.3351099427735953,29.07625819345362,1.8481717790180927,0.35369754426276734,2,2,2,2,0,0,2,2,1
13,4,12,8,11.0,0.6363636363636364,12.0,0.3333333333333333,5.0,0.8,0.2,1,0,28.577826553262305,1.3341871034012243,27.166636406229337,1.4567329874749824,0.7625067250063413,2,2,159,31,1,1,36,36,1
14,23,3,-20,11.0,0.5454545454545454,14.0,0.5,2.0,0.0,1.0,1,1,26.341851190861025,1.5421400875408975,28.171507900472374,1.3889302668116597,0.1889997104677924,157,29,199,38,0,0,2,2,0
15,2,9,7,9.0,0.6666666666666666,13.0,0.46153846153846156,2.0,1.0,0.0,1,0,28.540109215495924,1.5265920776196593,28.495963956185307,2.5704943154303272,0.5058906065746757,156,26,38,3,5,1,40,38,1
16,15,16,1,19.0,0.47368421052631576,8.0,0.25,2.0,0.0,1.0,1,1,26.90671992406238,1.4577222980251432,26.75142377913653,2.170569782670892,0.5236812173630627,3,2,2,2,0,0,3,2,0
17,21,1,-20,7.0,0.14285714285714285,16.0,0.5,6.0,0.5,0.5,1,0,25.306667435474807,2.0951799140321015,28.355658240431616,1.33349436922015,0.10978396174725158,5,3,5,3,0,1,3,5,0
18,12,4,-8,13.0,0.3076923076923077,15.0,0.5333333333333333,8.0,0.625,0.375,1,0,27.079333588559923,1.45470449234022,28.239652205823553,1.3879291234477393,0.28193572542348444,161,32,201,39,0,1,2,4,1
19,8,16,8,14.0,0.42857142857142855,9.0,0.3333333333333333,9.0,0.5555555555555556,0.4444444444444444,1,0,27.85694415773305,2.4715437397415205,26.8316523765324,3.522734284426432,0.594159666848673,40,4,0,1,0,1,2,4,1
20,9,1,-8,14.0,0.35714285714285715,17.0,0.5294117647058824,3.0,0.6666666666666666,0.3333333333333333,1,0,27.97745327248277,1.345929990925013,28.393975558269016,1.3338613061662792,0.4130094832173439,159,36,6,4,2,2,40,6,1
21,3,12,9,12.0,0.6666666666666666,14.0,0.35714285714285715,7.0,0.8571428571428571,0.14285714285714285,1,0,28.650895231447585,1.333419897558725,27.257845184025932,1.451148867614393,0.760174550479757,6,3,163,33,2,1,40,4,1
22,2,8,6,10.0,0.7,15.0,0.4666666666666667,4.0,1.0,0.0,1,0,28.6736605108802,1.5234783985403153,28.24442963152486,2.419119571595342,0.5596729804290246,159,27,41,5,6,1,43,3,1
23,22,21,-1,12.0,0.5,8.0,0.125,3.0,0.6666666666666666,0.3333333333333333,1,0,26.25785007982467,1.5395939274348103,25.2025286672069,2.0855515512327583,0.6580337812911117,162,30,8,4,0,0,5,3,1
24,15,4,-11,20.0,0.45,16.0,0.5,2.0,1.0,0.0,1,0,26.769795207293015,1.4545769245318796,28.077275017618092,1.3852814069138664,0.2575507851569302,7,3,204,40,0,0,4,3,1
25,18,16,-2,14.0,0.5714285714285714,10.0,0.3,3.0,0.6666666666666666,0.3333333333333333,1,0,28.745462913755983,1.827250574825871,26.063198880938547,3.3887040614344004,0.7570047049325024,9,3,3,2,0,0,7,3,1
26,8,22,14,16.0,0.4375,13.0,0.5384615384615384,3.0,0.6666666666666666,0.3333333333333333,1,0,27.754265672364888,2.34852970584073,26.36419840175384,1.5367417632549158,0.6897987566145845,43,6,163,31,0,1,2,6,1
27,1,15,14,18.0,0.5,21.0,0.47619047619047616,3.0,0.6666666666666666,0.3333333333333333,1,0,28.267781674622448,1.3321416133187924,26.963740684217857,1.449989484667574,0.7461029988008645,10,5,9,4,0,1,4,6,1
28,12,18,6,14.0,0.35714285714285715,15.0,0.6,3.0,0.3333333333333333,0.6666666666666666,1,0,27.17066467661911,1.4491658193272583,28.849060216400442,1.8196496877844464,0.2352953887825724,166,34,10,4,0,1,3,8,0
29,44,24,-20,12.0,0.3333333333333333,12.0,0.5833333333333334,2.0,1.0,0.0,0,0,24.756879241495003,1.6287789966283355,26.528376397449883,1.612830699140461,0.21980859834542688,9,5,88,14,0,1,6,45,1
